Dataset, FP, FN, RF
BB40031, 0.291666666667, 0.291666666667, 0.291666666667
BB40032, 0.0, 0.0, 0.0
BB40033, 0.1875, 0.1875, 0.1875
BB40034, 0.41935483871, 0.41935483871, 0.41935483871
BB40035, 0.541666666667, 0.541666666667, 0.541666666667
BB40036, 0.461538461538, 0.461538461538, 0.461538461538
BB40037, 0.511627906977, 0.511627906977, 0.511627906977
BB40038, 0.4, 0.4, 0.4
BB40039, 0.41935483871, 0.41935483871, 0.41935483871
BB40040, 0.037037037037, 0.037037037037, 0.037037037037
BB40041, 0.884615384615, 0.884615384615, 0.884615384615
BB40042, 0.607142857143, 0.607142857143, 0.607142857143
BB40043, 0.214285714286, 0.214285714286, 0.214285714286
BB40044, 0.727272727273, 0.727272727273, 0.727272727273
BB40045, 0.875, 0.875, 0.875
BB40046, 0.423076923077, 0.423076923077, 0.423076923077
BB40047, 0.56862745098, 0.56862745098, 0.56862745098
BB40048, 0.428571428571, 0.428571428571, 0.428571428571
BB40049, 0.559322033898, 0.559322033898, 0.559322033898
BB50001, 0.451612903226, 0.451612903226, 0.451612903226
BB50002, 0.7, 0.7, 0.7
BB50003, 0.2, 0.2, 0.2
BB50004, 0.166666666667, 0.166666666667, 0.166666666667
BB50005, 0.375, 0.375, 0.375
BB50006, 0.210526315789, 0.210526315789, 0.210526315789
BB50007, 0.55, 0.55, 0.55
BB50008, 0.0869565217391, 0.0869565217391, 0.0869565217391
BB50009, 0.28, 0.28, 0.28
BB50010, 0.285714285714, 0.285714285714, 0.285714285714
BB50011, 0.393939393939, 0.393939393939, 0.393939393939
BB50012, 0.478260869565, 0.478260869565, 0.478260869565
BB50013, 0.133333333333, 0.133333333333, 0.133333333333
BB50014, 0.407407407407, 0.407407407407, 0.407407407407
BB50015, 0.48275862069, 0.48275862069, 0.48275862069
BB50016, 0.4, 0.4, 0.4
